sampleID,TMB,Level
53537S04,0.59,low
72425S09,0.5,low
72425S08,0.53,low
72425S04,0.47,low
72430S02X2,0.65,low
42944S03,3.94,High
42944S01X3,4.53,High
43674S01X3,1.3,High
43674S04,1.55,High
44073S04,1.46,High
44073S01X3,1.37,High
45032S04,1.43,High
46279S04,1.4,High
46279S02X2,3.76,High
53490S01X3,1.4,High
53490S08,1.71,High
53527S04,3.29,High
53527S01X3,2.55,High
53537S01X3,1.46,High
53546S01X3,1.61,High
53546S04,1.55,High
53577S04,1.61,High
53577S01X3,1.21,High
53586S01X5,1.55,High
53586S04,1.21,High
53590S04,1.4,High
53590S01X3,1.71,High
53592S04,1.46,High
53592S01X3,1.43,High
55381S05,1.43,High
55381S03X2,1.37,High
72411S04,1.24,High
72411S02X2,1.37,High
72421S04,1.71,High
72421S02X2,1.58,High
72424S04,1.49,High
72424S08X2,1.52,High
72426S02X2,2.33,High
72426S04,2.52,High
72429S02X3,1.86,High
72429S04,2.02,High
72430S04,1.37,High
53582S01X3,1.49,High
45032S01X3,1.12,Mid
72418S04,0.93,Mid
72418S02X2,1.24,Mid
72425S02X2,1.09,Mid
53582S10,2,High
